Sector,company_name,location,start_date,duration,stipend,skills
Business Development (Sales),Solevideos.ai,Work From Home,Immediately,6 Months,"? 10,000 /month +  Incentives","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Social Media Marketing,Montessori Community Initiative,Chennai,Immediately,6 Months,"? 4,000-5,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
Search Engine Optimization (SEO),Nexten Brands Private Limited,Bangalore,Immediately,6 Months,"? 10,000-20,000 /month","SEO, Google Analytics, Keyword Research, HTML, Content Writing"
Backend Development,LineupX,Mumbai,Immediately,6 Months,"? 15,000 /month","Node.js/Python/Java, REST APIs, Databases, Server Management"
Video Content Creator (Spoken English) And English Language Instructor,AceFluency,Dehradun,Immediately,6 Months,"? 20,000 /month","Video Production, Editing, Scripting, Social Media, Storytelling, Subject Knowledge, Communication, Teaching"
Digital Marketing,Marketing Mojito,Mumbai,Immediately,6 Months,"? 5,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Recruitment,Hire Rightt Executive Search LLP Dubai,Pune,Immediately,6 Months,"? 10,000-20,000 /month","Sourcing, Communication, LinkedIn, ATS, Screening"
Sales,Aarohiinfo FI Management Limited,Pune,Immediately,6 Months,"? 5,000-8,000 /month","Communication, Negotiation, CRM, Lead Generation, Presentation"
Graphic Design,Pawzz,Work From Home,Immediately,6 Months,"? 10,000-12,000 /month","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory"
Business Development (Sales),QuadB Tech,Work From Home,Immediately,6 Months,"? 10,000-12,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Shopify Website Management & Social Media,Doodle Over Poodle Pvt. Ltd.,Delhi,Immediately,6 Months,"? 8,000-10,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Leadership, Communication, Planning"
Content Writing/Product Management,AdCortex,Work From Home,Immediately,6 Months,"? 5,000 /month","Product Strategy, Agile, User Research, Communication, Analytics, Writing, Research, SEO"
E-Commerce Catalog Management,Riansh Corporate,Work From Home,Immediately,6 Months,"? 6,000-12,000 /month","E-commerce Platforms, Digital Marketing, Product Listing, Analytics, Leadership, Communication, Planning, MS Office"
Social Media Marketing,Cremeborne Foodworks Private Limited,Delhi,Immediately,6 Months,"? 5,000 /month +  Incentives","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
Content Writing,Learnart Technologies Private Limited,Work From Home,Immediately,6 Months,"? 2,500 /month","Writing, Research, SEO, Grammar, Creativity, Editing"
Social Media Management,Pawzz,Work From Home,Immediately,6 Months,"? 8,000-12,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Leadership, Communication, Planning"
Graphic Design,Full Circle Publishing Private Limited,Delhi,Immediately,6 Months,"? 10,000-15,000 /month","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory"
Marketing Coordination (Telecalling),Creating Stories Media Private Limited,Delhi,Immediately,6 Months,"? 10,000-15,000 /month","Communication, CRM, Sales Pitch, Customer Service, Negotiation, Marketing Strategy, Analytics, Content Creation"
Business Development (Sales),Waaree Energies Limited,Mumbai,Immediately,6 Months,"? 8,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
iOS App Development,Smitch,Coimbatore,Immediately,6 Months,"? 5,000-10,000 /month","Mobile Development, UI/UX, REST APIs, Git, Swift, Xcode, UIKit, Core Data"
Full Stack Development,Kosqu Technolabs,Navi Mumbai,Immediately,6 Months,"? 12,000 /month","HTML, CSS, JavaScript, Node.js, Databases, REST APIs, Git"
Graphic Design,Graphitration,Work From Home,Immediately,6 Months,"? 1,000 /month +  Incentives","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory"
API Deployment,Otaku Central,Work From Home,Immediately,6 Months,"? 3,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Enterprise Risk Management,Kristal.AI,Bangalore,Immediately,6 Months,"? 25,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving, ERP Systems, SAP, Business Processes"
Agriculture & Food Management,Kazhani Native Farms,Chennai,Immediately,6 Months,"? 5,000 /month","Agricultural Science, Research, Data Analysis, Field Work, Leadership, Communication, Planning, MS Office"
General Management,Gamprohealth Private Limited,Thane,Immediately,6 Months,"? 5,000-8,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Business Development (Sales),PE Front Office,Gurgaon,Immediately,3 Months,"? 12,000-15,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Business Development (Sales),Tropicana Stays,Mumbai,Immediately,3 Months,"? 15,000-20,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Sales,CoFynd Infotech Private Limited,Gurgaon,Immediately,3 Months,"? 15,000 /month","Communication, Negotiation, CRM, Lead Generation, Presentation"
Digital Marketing,Votan Ventures,Delhi,Immediately,3 Months,"? 5,000-8,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Market Research,DigiBros,Work From Home,Immediately,3 Months,"? 4,000-7,000 /month","Research, Data Analysis, Survey Design, Excel, Report Writing, Research Methodology, Academic Writing, Literature Review"
Social Media Management,Kruu Edtech Ptovate Limited,Chennai,Immediately,3 Months,"? 10,000-15,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Leadership, Communication, Planning"
Business Development (Sales),ParallelDots,Work From Home,Immediately,3 Months,"? 10,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Graphic Design,Sudarrshan Tech Services,Bangalore,Immediately,3 Months,"? 5,000-15,000 /month","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory"
Graphic Design / Motion Graphics,Purple Flicks,Mumbai,Immediately,3 Months,"? 10,000-30,000 /month","After Effects, Motion Design, Adobe Premiere Pro, Animation, Adobe Photoshop, Adobe Illustrator, Canva, Typography"
Business Development (Sales),Aposhere Technologies Pvt Ltd,Pune,Immediately,3 Months,"? 8,000-20,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Telecalling (Sales),Richa Chawla,Work From Home,Immediately,3 Months,"? 1,000 /month","Communication, CRM, Sales Pitch, Customer Service, Negotiation, Lead Generation, Presentation, Customer Handling"
Marketing,Stackmint Private Limited,Pune,Immediately,3 Months,"? 5,000 /month","Marketing Strategy, Communication, Analytics, Content Creation"
Investment intern,BeyondSeed Venture Solutions,Mumbai,Immediately,3 Months,"? 3,000-8,000 /month","Financial Analysis, Valuation, Excel, Market Research, Financial Modeling, Communication, Eagerness to Learn, Teamwork"
Growth Hacking,Hiringhood,Hyderabad,Immediately,3 Months,"? 10,000 lump sum +  Incentives","Growth Hacking, Analytics, A/B Testing, Marketing Automation, SEO"
Accounts,SecurEyes Techno Services Private Limited,Bangalore,Immediately,3 Months,"? 8,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Data Mining,Compport,Work From Home,Immediately,3 Months,"? 15,000 /month","Python/R, SQL, Statistics, Data Preprocessing"
Social Media Marketing,Droha LLC,Work From Home,Immediately,3 Months,"? 5,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
Management,Houzer,Mumbai,Immediately,3 Months,"? 5,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Human Resources (HR),Beep Innovations Private Limited,Chennai,Immediately,3 Months,"? 15,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
HR Operations,Raydito Services,Work From Home,Immediately,3 Months,"? 2,500-5,000 /month","Process Optimization, Excel, Communication, Project Management, HR Policies, Recruitment, HRIS"
Business Strategy,Talentship Global Advisory Forum,Work From Home,Immediately,3 Months,Unpaid,"Communication, Problem Solving, Teamwork, MS Office"
Subject Matter Expert (Video Solution),Graveiens Eduservices Private Limited,Work From Home,Immediately,3 Months,"? 1,000 /month +  Incentives","Domain Expertise, Teaching, Content Development, Communication"
Graphic Design,Flamingo Cinemas,Work From Home,Immediately,3 Months,"? 5,000 /month +  Incentives","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory"
YouTube Video And Reels Editing,Budding Mariners,Work From Home,Immediately,3 Months,"? 2,500 /month","YouTube SEO, Video Editing, Content Strategy, Thumbnails, Audience Growth, Editing, Proofreading, Grammar"
Social Media Marketing,Gursidak Foundation,Work From Home,Immediately,3 Months,Unpaid,"Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
Content Writing,Adorilabs,Work From Home,Immediately,3 Months,"? 5,000 /month","Writing, Research, SEO, Grammar, Creativity, Editing"
Human Resources (HR),Khichad Consultancy,Jaipur,Immediately,3 Months,"? 2,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Event Management,Eva Live LLP,Delhi,Immediately,3 Months,"? 10,000 /month","Event Planning, Communication, Budgeting, Vendor Management, Coordination, Leadership, Planning, MS Office"
E-Commerce Sales,Campinators,Work From Home,Immediately,3 Months,"? 8,000 /month +  Incentives","E-commerce Platforms, Digital Marketing, Product Listing, Analytics, Communication, Negotiation, CRM, Lead Generation"
Data Entry,Gamahouse Publishing,Work From Home,Immediately,3 Months,"? 1,000 /month","Typing Speed, MS Excel, Attention to Detail, Data Management"
Front End Operator,Shubham Varshney,Meerut,Immediately,3 Months,"? 2,000 /month","HTML, CSS, JavaScript, React/Angular/Vue, Responsive Design"
Academic Content Expert - Statistics (English),QA Solvers,Varanasi,Immediately,3 Months,"? 15,000-22,000 /month","Statistics, R/Python, Data Analysis, Probability, Hypothesis Testing, Research, Academic Writing, Literature Review"
Academic Content Expert - Economics (English),QA Solvers,Noida,Immediately,3 Months,"? 15,000-22,000 /month","Research, Academic Writing, Literature Review, Critical Thinking, AutoCAD, SolidWorks, Technical Drawing, 3D Modeling"
MIS Executive,Keystone Real Estate Advisory Pvt. Ltd.,Mumbai,Immediately,3 Months,"? 5,000 /month","Communication, MS Office, Organization, Problem Solving"
Web Development,Joints Health Private Limited,Delhi,Immediately,3 Months,"? 6,000 /month +  Incentives","HTML, CSS, JavaScript, Git, Responsive Design"
Statistics,Digipplus,Work From Home,Immediately,3 Months,"? 25,000-30,000 /month","Statistics, R/Python, Data Analysis, Probability, Hypothesis Testing"
Psychology,Serve Samman,Delhi,Immediately,3 Months,Unpaid,"Psychology, Research, Counseling, Data Analysis, Communication"
Applications For Data Entry (Content Writing) Internship,GiveIndia,Work From Home,Immediately,3 Months,"? 5,000 /month","Writing, Research, SEO, Grammar, Creativity, Typing Speed, MS Excel, Attention to Detail"
Human Resources (HR),Hyundai Electronics,Gurgaon,Immediately,3 Months,"? 2,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Logistics And Operations,HealthFlex,Bangalore,Immediately,3 Months,"? 15,000-25,000 /month","Process Optimization, Excel, Communication, Project Management, Logistics Management, Supply Chain, Coordination"
Business Development,Slikk,Work From Home,Immediately,6 Months,"? 7,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM"
Web Development & Digital Marketing,Kaspr International,Pune,Immediately,6 Months,"? 6,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, HTML, CSS, JavaScript"
Social Media Marketing,Dscovr Journeys Private Limited,Mumbai,Immediately,6 Months,"? 8,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
Finance,Nitika Agarwal,Patna,Immediately,6 Months,"? 2,000 lump sum +  Incentives","Financial Analysis, Excel, Accounting Basics, Financial Modeling"
Content Writing,Failure Before Success,Work From Home,Immediately,6 Months,"? 2,500 /month","Writing, Research, SEO, Grammar, Creativity, Editing"
Fundraising,Tejaswini Samajik Sanstha,Work From Home,Immediately,6 Months,"? 1,000 /month +  Incentives","Fundraising, Communication, Networking, Persuasion"
Social Media Content,Vedant More,Work From Home,Immediately,6 Months,"? 1,000-1,500 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting"
Marketing,UpCurve Business Services Private Limited,Pune,Immediately,6 Months,"? 5,000 /month","Marketing Strategy, Communication, Analytics, Content Creation"
Product Support Engineering,Salesken,Indiranagara,Immediately,6 Months,"? 20,000 /month","Customer Support, Communication, Troubleshooting, Ticketing Systems"
Business Strategy,Talentship Global Advisory Forum,Work From Home,Immediately,6 Months,Unpaid,"Communication, Problem Solving, Teamwork, MS Office"
Digital Marketing,Techno Start,Pune,Immediately,6 Months,"? 5,000-6,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Social Media,Divyangna Sharma,Work From Home,Immediately,6 Months,"? 4,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting"
Python And Java Machine Learning (OpenAI GPT),Arakoo.ai,Work From Home,Immediately,6 Months,"? 10,000 /month","Python, Scikit-learn, TensorFlow/PyTorch, Statistics, Linear Algebra, OOP, Data Structures, Problem Solving"
Video Making/Editing,Marketing Moves,Work From Home,Immediately,6 Months,"? 10,000 /month","Video Production, Editing Software, Storytelling, Camera Skills, Editing, Proofreading, Grammar, Attention to Detail"
Business Development Intern (IT Sales),Amit  Khandekar,Pune,Immediately,6 Months,"? 10,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Eagerness to Learn, Teamwork, Basic Technical Skills"
Business Development (Sales),Innovation Consultants,Work From Home,Immediately,6 Months,"? 4,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Social Media Marketing,Tanay Hargunaney,Taleigao,Immediately,6 Months,"? 2,000-10,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
Human Resources (HR),Sparsa Digital Private Limited,Gurgaon,Immediately,6 Months,"? 5,000-10,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Operations,GeoSustain Association,Work From Home,Immediately,6 Months,Unpaid,"Process Optimization, Excel, Communication, Project Management"
Website or WordPress Development,Point Blank Range Pvt Ltd,Delhi,Immediately,6 Months,"? 2,000-5,000 /month","WordPress, PHP, HTML, CSS, CMS, JavaScript, Responsive Design"
Child Psychology,Starlit Ability Enhancement Services Private Limited,Pune,Immediately,6 Months,"? 6,000-10,000 /month","Psychology, Research, Counseling, Data Analysis, Communication"
Media & Public Relations (PR),De Chevalerie En Rouge,Delhi,Not specified,6 Months,"? 7,000-12,000 /month","Communication, Media Relations, Press Releases, Writing, Crisis Management"
Social Media Marketing,Bodii,Work From Home,Immediately,6 Months,"? 3,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
Digital Marketing,Aranya Aura Private Limited,Work From Home,Immediately,6 Months,"? 5,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Company Secretary (CS),A&Y Associates,Mumbai,Immediately,6 Months,"? 5,000-15,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Social Media Management,Kainaz Daver,Work From Home,Immediately,6 Months,"? 7,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Leadership, Communication, Planning"
Photography,Arts Shala,Delhi,Immediately,6 Months,"? 4,000 /month +  Incentives","Camera Skills, Lighting, Adobe Lightroom, Composition, Photo Editing"
Business Development (Sales),Maa Jagdama Ventures (PrintF),Bangalore,Immediately,6 Months,"? 15,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Digital Marketing,The Square Prints,Work From Home,Immediately,6 Months,"? 2,000-15,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Digital Marketing,Flashy Panels,Work From Home,Immediately,6 Months,"? 5,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Social Media Marketing & Lead Generation,Right Digital Service,Work From Home,Immediately,6 Months,"? 5,000-8,000 /month","Research, CRM, Communication, Cold Calling, LinkedIn, Social Media Platforms, Content Creation, Canva"
Video Creation,Top Talent Bridge,Work From Home,Immediately,6 Months,"? 5,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Business Development (Sales),Dixit Global Tech IT Solutions Private Limited,Bangalore,Immediately,6 Months,"? 2,000 /month +  Incentives","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Digital Marketing,DigiKind Co. (DKC),Work From Home,Immediately,6 Months,"? 3,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Script Review,Quizzy,Work From Home,Immediately,6 Months,"? 5,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Webflow Design,BuildSuite,Work From Home,Immediately,6 Months,"? 5,000 /month","Webflow, HTML, CSS, UI/UX, No-Code"
Founder's Office,Growth4x,Work From Home,Immediately,6 Months,"? 1,500 /month +  Incentives","MS Office, Communication, Organization, Filing, Scheduling"
Business Development,Gyansthan Education Services LLP,Mumbai,Immediately,6 Months,"? 3,000 /month +  Incentives","Communication, Negotiation, Market Research, Lead Generation, CRM"
UX/UI Design,D'Skin Lab,Work From Home,Immediately,6 Months,"? 5,000-10,000 /month","Figma, Adobe XD, Visual Design, Typography, Prototyping"
Business Development (Sales),Technest Learning,Work From Home,Immediately,6 Months,"? 4,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Film And Video Editing,Stirring Minds,Delhi,Immediately,6 Months,"? 6,000-12,000 /month","Adobe Premiere Pro, After Effects, DaVinci Resolve, Color Grading, Storytelling, Editing, Proofreading, Grammar"
Chemistry/Statistics - Subject Matter Expert,CloudBird Digital Private Limited,Work From Home,Immediately,6 Months,"? 6,000 /month","Domain Expertise, Teaching, Content Development, Communication, Statistics, R/Python, Data Analysis, Probability"
Content Writing,Househat,Pune,Immediately,6 Months,"? 8,000 /month","Writing, Research, SEO, Grammar, Creativity, Editing"
International Business Development,Stirring Minds,Work From Home,Immediately,6 Months,"? 1,000-3,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Eagerness to Learn, Teamwork, Basic Technical Skills"
Facebook Ad Management,Stirring Minds,Delhi,Immediately,6 Months,"? 6,000-8,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Search Engine Optimization (SEO),Adroitent Incorporation,Work From Home,Immediately,6 Months,"? 10,000 /month","SEO, Google Analytics, Keyword Research, HTML, Content Writing"
Business Development (Sales),PNT Academy,Ambernath,Immediately,6 Months,"? 5,000-10,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Marketing,Ritikaa Enterprises Private Limited,Mumbai,Not specified,6 Months,"? 10,000 /month","Marketing Strategy, Communication, Analytics, Content Creation"
Administration And Operations,ASMI Not-For-Profit,Gurgaon,Immediately,6 Months,"? 1,000-4,000 /month","Process Optimization, Excel, Communication, Project Management, MS Office, Organization, Data Entry, Scheduling"
Electrical Engineering,Elecnovo Private Limited,Bangalore,Immediately,6 Months,"? 8,000-10,000 /month","Circuit Design, Power Systems, MATLAB, PLC, Electrical Safety"
Digital Marketing,FX Retina,Lucknow,Immediately,6 Months,"? 4,000-8,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Food Science,Cosy Farms,Mumbai,Immediately,6 Months,"? 4,000-8,000 /month","Food Science, Lab Skills, Quality Control, Research"
Supply Chain Management (SCM),PickYourTrail,Chennai,Immediately,6 Months,"? 8,000 /month","Supply Chain Management, Logistics, Excel, Inventory Management, Leadership, Communication, Planning, MS Office"
Algorithm Development,CogniFirst Technologies,Bangalore,Immediately,6 Months,"? 20,000 /month","Go, Concurrency, REST APIs, Microservices"
Web And Mobile App Development,MXPERTZ,Indore,Immediately,6 Months,"? 2,000 /month","Mobile Development, UI/UX, REST APIs, Git"
Business Development (Sales),Creative Ally,Work From Home,Immediately,6 Months,"? 5,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Office Admin,Househat,Pune,Immediately,6 Months,"? 7,000 /month","MS Office, Communication, Organization, Filing, Scheduling, Data Entry"
Multimedia Production,Stirring Minds,Delhi,Immediately,6 Months,"? 5,000-11,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Online Reputation Management,Stirring Minds,Work From Home,Immediately,6 Months,"? 4,000-8,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Product Development And Procurement,Good Roots Kitchenware Private Limited,Chennai,Immediately,6 Months,"? 10,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Customer Care,Stirring Minds,Delhi,Immediately,6 Months,"? 10,000-12,000 /month","Communication, Problem Solving, CRM, Patience, Active Listening"
Telecalling,Stirring Minds,Delhi,Immediately,6 Months,"? 15,000-18,000 /month","Communication, CRM, Sales Pitch, Customer Service, Negotiation, Customer Handling"
Media And Public Relations (PR),Stirring Minds,Delhi,Immediately,6 Months,"? 7,000-10,000 /month","Communication, Media Relations, Press Releases, Writing, Crisis Management"
Digital Marketing,Wizrdom,Bangalore,Immediately,6 Months,"? 5,000-7,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Business Development (Sales),NOIR & BLANCO,Work From Home,Immediately,6 Months,"? 6,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Trial Booking Pre-Sales,Purple Tutor,Work From Home,Immediately,6 Months,"? 5,000-10,000 /month","Communication, Negotiation, CRM, Lead Generation, Presentation"
Customer Support,Stirring Minds,Delhi,Immediately,6 Months,"? 6,000-12,000 /month","Communication, Problem Solving, CRM, Patience, Active Listening, Customer Support, Troubleshooting, Ticketing Systems"
Full Stack Development,Stirring Minds,Delhi,Immediately,6 Months,"? 8,000-10,000 /month","HTML, CSS, JavaScript, Node.js, Databases, REST APIs, Git"
Film And Video Editing,Stirring Minds,Delhi,Immediately,6 Months,"? 6,000-12,000 /month","Adobe Premiere Pro, After Effects, DaVinci Resolve, Color Grading, Storytelling, Editing, Proofreading, Grammar"
Sales Coordination,Stirring Minds,Delhi,Immediately,6 Months,"? 6,000-12,000 /month","Communication, Negotiation, CRM, Lead Generation, Presentation"
Social Media Marketing,Stirring Minds,Work From Home,Immediately,6 Months,"? 5,000-12,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
Customer Support,CookandChef India Private Limited,Work From Home,Immediately,6 Months,"? 10,000 /month","Communication, Problem Solving, CRM, Patience, Active Listening, Customer Support, Troubleshooting, Ticketing Systems"
AWS DevOps Engineer,Triluxo Technologies Private Limited,Work From Home,Immediately,6 Months,"? 1,000-2,000 /month","Linux, Docker, Kubernetes, CI/CD, AWS/Azure/GCP, Bash, AWS, EC2"
Content Writing,Dream Jobs Solutions,Work From Home,Immediately,6 Months,"? 3,000 /month +  Incentives","Writing, Research, SEO, Grammar, Creativity, Editing"
Lead Generation,Top Talent Bridge,Work From Home,Immediately,6 Months,"? 5,000 /month","Research, CRM, Communication, Cold Calling, LinkedIn"
Web Development,U4IC Life,Noida,Immediately,6 Months,"? 2,000-10,000 /month","HTML, CSS, JavaScript, Git, Responsive Design"
Subject Matter Expert (SME),Credque,Bangalore,Immediately,6 Months,"? 10,000 /month","Domain Expertise, Teaching, Content Development, Communication"
Digital Marketing,Pranav Indulkar,Work From Home,Immediately,6 Months,"? 1,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Web Development,Affiliated Recruiters,Coimbatore,Immediately,6 Months,"? 3,000 /month","HTML, CSS, JavaScript, Git, Responsive Design"
Frontend Development,Faclon,Work From Home,Immediately,6 Months,"? 8,000-12,000 /month","HTML, CSS, JavaScript, React/Angular/Vue, Responsive Design"
YouTube Content Creation,PrimeFlamingo,Work From Home,Immediately,6 Months,"? 1,000 /month","Content Strategy, Writing, Social Media, Canva, Video Editing, YouTube SEO, Thumbnails, Audience Growth"
Human Resources (HR),Stirring Minds,Work From Home,Immediately,6 Months,"? 1,000-3,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Design & Portfolio Management,Sutra Luminis,Noida,Immediately,6 Months,"? 15,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
"Web Development (HTML, CSS)",Stirring Minds,Delhi,Immediately,6 Months,"? 7,000-8,000 /month","HTML, CSS, JavaScript, Git, Responsive Design"
Deals Management,Legacy Growth Partners LLP,Delhi,Immediately,6 Months,"? 4,000-6,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
E-commerce Associate,Axe Consultancy And Security Services LLC,Work From Home,Immediately,6 Months,"? 3,000-5,000 /month","E-commerce Platforms, Digital Marketing, Product Listing, Analytics, Communication, Teamwork, MS Office, Problem Solving"
Digital Marketing,Raunak Doshi,Kolkata,Immediately,6 Months,"? 5,000-10,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Business Development (Sales),Accsus Management,Ahmedabad,Immediately,6 Months,"? 7,500-12,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
WordPress Development,Stirring Minds,Delhi,Immediately,6 Months,"? 7,000-10,000 /month","WordPress, PHP, HTML, CSS, CMS"
Entrepreneurship,Stirring Minds,Work From Home,Immediately,6 Months,"? 10,000-20,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Data Analytics,Stirring Minds,Delhi,Immediately,6 Months,"? 7,000-10,000 /month","Python, SQL, Excel, Tableau/Power BI, Statistics, Python/Excel, Data Visualization, Power BI/Tableau"
Financial Analyst,Trade Brains,Bangalore,Immediately,6 Months,"? 12,000 /month","Financial Analysis, Excel, Accounting, Financial Modeling, Analytical Thinking, Data Analysis, Communication, SQL"
Social Media Marketing,Black Key Tunes LLP,Mumbai,Immediately,6 Months,"? 5,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
Video Editing,Sossal,Kolkata,Immediately,6 Months,"? 5,000-9,000 /month","Adobe Premiere Pro, After Effects, DaVinci Resolve, Color Grading, Storytelling, Editing, Proofreading, Grammar"
Graphic Design,Jordiax Digital,Work From Home,Immediately,6 Months,"? 1,000 /month","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory"
Sales And Marketing,SuperK,Mumbai,Immediately,6 Months,"? 5,000 /month +  Incentives","Marketing Strategy, Communication, Analytics, Content Creation, Negotiation, CRM, Lead Generation, Presentation"
Anchoring,Stars N Celebs,Work From Home,Immediately,6 Months,"? 1,000 lump sum","Communication, Problem Solving, Teamwork, MS Office"
Accounting & Tally,Gandhi Institute For Education And Technology,Bhubaneswar,Immediately,6 Months,"? 3,000 /month","Tally, Excel, Financial Statements, GST, Bookkeeping"
Business Development (Sales),Littup,Work From Home,Immediately,6 Months,"? 5,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Marketing,Rajmani Ventures,Bangalore,Immediately,6 Months,"? 5,000 /month","Marketing Strategy, Communication, Analytics, Content Creation"
Python Development,Jewels Infotech,Jaipur,Immediately,6 Months,"? 5,000-12,000 /month","Python, OOP, Data Structures, Problem Solving"
Video Making/Editing,Kaif Mohamemd,Work From Home,Immediately,6 Months,"? 3,000 /month","Video Production, Editing Software, Storytelling, Camera Skills, Editing, Proofreading, Grammar, Attention to Detail"
Sales Consultant,My Next Film Private Limited,Chennai,Immediately,6 Months,"? 2,000 /month +  Incentives","Domain Knowledge, Communication, Problem Solving, Presentation, Negotiation, CRM, Lead Generation"
Customer Success,HappiMynd,Work From Home,Immediately,6 Months,"? 5,000 /month","Communication, Problem Solving, CRM, Patience, Active Listening"
Robot Design & Construction,RoboFun Lab Private Limited,Surat,Immediately,6 Months,"? 10,000 /month","Communication, Problem Solving, Teamwork, MS Office"
